date,google_reviews,apple_reviews,reviews
2020-06-01 00:00:00,582,647,1229
2020-06-02 00:00:00,4128,2537,6665
2020-06-03 00:00:00,6410,3738,10148
2020-06-04 00:00:00,7430,4356,11786
2020-06-05 00:00:00,8674,4755,13429
2020-06-06 00:00:00,9604,5002,14606
2020-06-07 00:00:00,11232,5208,16440
2020-06-08 00:00:00,12794,5542,18336
2020-06-09 00:00:00,13792,5748,19540
2020-06-10 00:00:00,14098,5886,19984
2020-06-11 00:00:00,14486,5985,20471
2020-06-12 00:00:00,14824,6071,20895
2020-06-13 00:00:00,15152,6235,21387
2020-06-14 00:00:00,15444,6367,21811
2020-06-15 00:00:00,16296,6775,23071
2020-06-16 00:00:00,16892,7045,23937
2020-06-17 00:00:00,18152,7263,25415
2020-06-18 00:00:00,18756,7436,26192
2020-06-19 00:00:00,19198,7597,26795
2020-06-20 00:00:00,19494,7732,27226
2020-06-21 00:00:00,19582,7741,27323
2020-06-22 00:00:00,19698,7751,27449
2020-06-23 00:00:00,19870,7806,27676
2020-06-24 00:00:00,20137,7854,27991
2020-06-25 00:00:00,20410,7903,28313
2020-06-26 00:00:00,20637,7949,28586
2020-06-27 00:00:00,20819,7995,28814
2020-06-28 00:00:00,21032,8038,29070
2020-06-29 00:00:00,21243,8095,29338
2020-06-30 00:00:00,21409,8115,29524
2020-07-01 00:00:00,21529,8149,29678
2020-07-02 00:00:00,21731,8173,29904
2020-07-03 00:00:00,21862,8197,30059
2020-07-04 00:00:00,21988,8220,30208
2020-07-05 00:00:00,22104,8268,30372
2020-07-06 00:00:00,22232,8300,30532
2020-07-07 00:00:00,22351,8354,30705
2020-07-08 00:00:00,22439,8396,30835
2020-07-09 00:00:00,22522,8421,30943
2020-07-10 00:00:00,22622,8447,31069
2020-07-11 00:00:00,22713,8473,31186
2020-07-12 00:00:00,22812,8480,31292
2020-07-13 00:00:00,22910,8509,31419
2020-07-14 00:00:00,23044,8519,31563
2020-07-15 00:00:00,23144,8543,31687
2020-07-16 00:00:00,23266,8558,31824
2020-07-17 00:00:00,23366,8572,31938
2020-07-18 00:00:00,23515,8586,32101
2020-07-19 00:00:00,23634,8597,32231
2020-07-20 00:00:00,23710,8606,32316
2020-07-21 00:00:00,23800,8620,32420
2020-07-22 00:00:00,23900,8631,32531
2020-07-23,23977,8642,32619
